key,Order,Level,Section,Subsection,Criteria,Role model Rating,Weights,Description
Junior DeveloperENGINEERING CRAFT,0,Junior Developer,ENGINEERING CRAFT,,,1.3,70%,
Junior DeveloperENGINEERING CRAFTWriting Code,1,Junior Developer,ENGINEERING CRAFT,Writing Code,,1.2,45%,"The ability to contribute high quality code to production environments.
Is able to consistently write testable, readable code across larger more complex projects."
Junior DeveloperENGINEERING CRAFTWriting CodeQuality,2,Junior Developer,ENGINEERING CRAFT,Writing Code,Quality,1.2,50%,"Your code has always followed correct convention, requiring only minor improvements.
You've made trade-offs knowingly."
Junior DeveloperENGINEERING CRAFTWriting CodeDocumentation,3,Junior Developer,ENGINEERING CRAFT,Writing Code,Documentation,1.0,25%,You've regularly documented your code and looked to improve documentation elsewhere.
Junior DeveloperENGINEERING CRAFTWriting CodeLanguage,4,Junior Developer,ENGINEERING CRAFT,Writing Code,Language,1.4,25%,You're committing quality code in at least one language and have a working understanding of other languages your team needs.
Junior DeveloperENGINEERING CRAFTWriting CodeMentoring,5,Junior Developer,ENGINEERING CRAFT,Writing Code,Mentoring,0.0,0%,N/A
Junior DeveloperENGINEERING CRAFTTesting,6,Junior Developer,ENGINEERING CRAFT,Testing,,1.7,15%,"The ability to understand and implement great testing practices.
Understands how to test code, and the valuable role that testing plays."
Junior DeveloperENGINEERING CRAFTTestingTesting your code,7,Junior Developer,ENGINEERING CRAFT,Testing,Testing your code,2.0,70%,"You consistently write solid unit tests, sometimes with help from more senior engineers."
Junior DeveloperENGINEERING CRAFTTestingImproving coverage,8,Junior Developer,ENGINEERING CRAFT,Testing,Improving coverage,1.0,20%,You've spotted small areas of low test coverage and patched them.
Junior DeveloperENGINEERING CRAFTTestingTaking responsibility,9,Junior Developer,ENGINEERING CRAFT,Testing,Taking responsibility,1.0,10%,You've consistently ensured that your code passes tests before creating or merging pull requests
Junior DeveloperENGINEERING CRAFTTestingLeading testing strategy,10,Junior Developer,ENGINEERING CRAFT,Testing,Leading testing strategy,0.0,0%,N/A
Junior DeveloperENGINEERING CRAFTTestingAdvocating for testing,11,Junior Developer,ENGINEERING CRAFT,Testing,Advocating for testing,0.0,0%,N/A
Junior DeveloperENGINEERING CRAFTTechnical Understanding & Prioritisation,12,Junior Developer,ENGINEERING CRAFT,Technical Understanding & Prioritisation,,1.3,15%,"The ability to develop technical understanding and use this to prioritise tasks appropriately.
Shows some confidence in technical understanding including the importance of prioritisation."
Junior DeveloperENGINEERING CRAFTTechnical Understanding & PrioritisationUnderstanding code,13,Junior Developer,ENGINEERING CRAFT,Technical Understanding & Prioritisation,Understanding code,1.4,60%,"You are able to gain context within the team's domain with occasional help from more senior engineers.
You are comfortable with the basics of code interface design and are learning to be more intentional."
Junior DeveloperENGINEERING CRAFTTechnical Understanding & PrioritisationTechnical collaboration,14,Junior Developer,ENGINEERING CRAFT,Technical Understanding & Prioritisation,Technical collaboration,1.2,25%,You communicate accurately about all technical subjects in your work.
Junior DeveloperENGINEERING CRAFTTechnical Understanding & PrioritisationWork breakdown,15,Junior Developer,ENGINEERING CRAFT,Technical Understanding & Prioritisation,Work breakdown,1.0,10%,You understand the importance of rightsizing tasks for incremental delivery plus continuous integration.
Junior DeveloperENGINEERING CRAFTTechnical Understanding & PrioritisationTask prioritisation,16,Junior Developer,ENGINEERING CRAFT,Technical Understanding & Prioritisation,Task prioritisation,1.0,5%,You can plan work tasks with help from team members and manager. You deliver based on the agreed priority of works tasks.
Junior DeveloperENGINEERING CRAFTSoftware Architecture,17,Junior Developer,ENGINEERING CRAFT,Software Architecture,,0.9,10%,"The ability to interact and engage with architectural approaches of the organization.
Is able to design basic functions, avoiding duplication across codebases and interface-breaking changes based on an understanding of the overall service architecture"
Junior DeveloperENGINEERING CRAFTSoftware ArchitectureReaction to feedback,18,Junior Developer,ENGINEERING CRAFT,Software Architecture,Reaction to feedback,2.0,30%,You understand the feedback given and applies it consistently to your work
Junior DeveloperENGINEERING CRAFTSoftware ArchitectureCode,19,Junior Developer,ENGINEERING CRAFT,Software Architecture,Code,1.0,30%,N/A
Junior DeveloperENGINEERING CRAFTSoftware ArchitectureDesign,20,Junior Developer,ENGINEERING CRAFT,Software Architecture,Design,0.0,20%,"You are comfortable with the basics of code interface design, and are learning to be more intentional."
Junior DeveloperENGINEERING CRAFTSoftware ArchitectureDevelopment,21,Junior Developer,ENGINEERING CRAFT,Software Architecture,Development,0.0,20%,N/A
Junior DeveloperENGINEERING CRAFTSoftware ArchitectureTechnical debt,22,Junior Developer,ENGINEERING CRAFT,Software Architecture,Technical debt,0.5,0%,You can usually recognize technical debt and can pay it down when advised.
Junior DeveloperENGINEERING CRAFTSecurity,23,Junior Developer,ENGINEERING CRAFT,Security,,1.3,10%,"The ability to understand and apply security principles, handle user data appropriately and report security concerns.
Is able to understand the importance of security."
Junior DeveloperENGINEERING CRAFTSecurityKnowledge,24,Junior Developer,ENGINEERING CRAFT,Security,Knowledge,1.2,40%,You understand basic security principles and apply them to your daily work.
Junior DeveloperENGINEERING CRAFTSecurityUser data,25,Junior Developer,ENGINEERING CRAFT,Security,User data,1.5,40%,You understand the importance of handling user data and do so responsibly.
Junior DeveloperENGINEERING CRAFTSecurityReporting,26,Junior Developer,ENGINEERING CRAFT,Security,Reporting,1.0,20%,You immediately report security concerns to manager or security teams.
Junior DeveloperENGINEERING CRAFTSecurityProactivity,27,Junior Developer,ENGINEERING CRAFT,Security,Proactivity,0.5,0%,N/A
Junior DeveloperENGINEERING CRAFTSecurityCollaboration,28,Junior Developer,ENGINEERING CRAFT,Security,Collaboration,0.8,0%,N/A
Junior DeveloperENGINEERING CRAFTSecurityStrategy,29,Junior Developer,ENGINEERING CRAFT,Security,Strategy,0.0,0%,N/A
Junior DeveloperENGINEERING CRAFTDebugging & Monitoring,30,Junior Developer,ENGINEERING CRAFT,Debugging & Monitoring,,1.1,5%,"The ability to understand and implement systematic debugging and monitoring practices to diagnose issues.
Understands debugging basics, the appropriate tools to use and is beginning to implement good monitoring practices."
Junior DeveloperENGINEERING CRAFTDebugging & MonitoringDebugging,31,Junior Developer,ENGINEERING CRAFT,Debugging & Monitoring,Debugging,1.2,60%,You are able do basic code profiling and optimize obvious bugs
Junior DeveloperENGINEERING CRAFTDebugging & MonitoringTools,32,Junior Developer,ENGINEERING CRAFT,Debugging & Monitoring,Tools,1.0,30%,You use out-of-the box tools to instrument and monitor systems with occasional help from senior engineers.
Junior DeveloperENGINEERING CRAFTDebugging & MonitoringPhilosophy,33,Junior Developer,ENGINEERING CRAFT,Debugging & Monitoring,Philosophy,0.5,10%,You understand the team's monitoring philosophy and work comfortably within it.
Junior DeveloperENGINEERING CRAFTDebugging & MonitoringData,34,Junior Developer,ENGINEERING CRAFT,Debugging & Monitoring,Data,0.8,0%,N/A
Junior DeveloperENGINEERING CRAFTDebugging & MonitoringProfiling,35,Junior Developer,ENGINEERING CRAFT,Debugging & Monitoring,Profiling,0.5,0%,N/A
Junior DeveloperENGINEERING CRAFTDebugging & MonitoringMentoring,36,Junior Developer,ENGINEERING CRAFT,Debugging & Monitoring,Mentoring,0.0,0%,N/A
Junior DeveloperSOFT SKILLS,37,Junior Developer,SOFT SKILLS,,,1.2,25%,
Junior DeveloperSOFT SKILLSEmpathy & Humility,38,Junior Developer,SOFT SKILLS,Empathy & Humility,,0.9,40%,"The ability to share someone else's feelings or experiences by imagining what it would be like to be in that person's situation.
Constantly pushes for a better understanding of the needs and perspectives of those outside their own viewpoint."
Junior DeveloperSOFT SKILLSEmpathy & HumilityCredit and blame,39,Junior Developer,SOFT SKILLS,Empathy & Humility,Credit and blame,1.0,30%,"You actively look to ensure praise is shared fairly when given to you. If someone else is blamed for your mistake, you own up."
Junior DeveloperSOFT SKILLSEmpathy & HumilityUnderstanding others,40,Junior Developer,SOFT SKILLS,Empathy & Humility,Understanding others,1.5,30%,You regularly and actively ask others for their opinions with the goal of better understanding where they're coming from.
Junior DeveloperSOFT SKILLSEmpathy & HumilityMediation and facilitation,41,Junior Developer,SOFT SKILLS,Empathy & Humility,Mediation and facilitation,0.5,20%,"You have de-escalated disagreements amongst your peers, looking for common ground."
Junior DeveloperSOFT SKILLSEmpathy & HumilityMentoring,42,Junior Developer,SOFT SKILLS,Empathy & Humility,Mentoring,0.0,20%,You've proactively developed at least one informal mentoring relationship through your ability to understand a peer or subordinate.
Junior DeveloperSOFT SKILLSCommunication,43,Junior Developer,SOFT SKILLS,Communication,,1.3,30%,"The ability to communicate well with those around you with sensitivity to timeliness, medium, brevity and tone.
Communicates with wider team, feeds back on communication of others."
Junior DeveloperSOFT SKILLSCommunicationKeeping people informed,44,Junior Developer,SOFT SKILLS,Communication,Keeping people informed,1.2,50%,"You communicate work updates from your peers across your wider team, and respond to feedback in a timely manner."
Junior DeveloperSOFT SKILLSCommunicationLooking for feedback,45,Junior Developer,SOFT SKILLS,Communication,Looking for feedback,2.0,30%,"You consistently ask for critique on your thinking from a wider group, and inform the group which elements you're incorporating into your work."
Junior DeveloperSOFT SKILLSCommunicationDelivering bad news,46,Junior Developer,SOFT SKILLS,Communication,Delivering bad news,0.5,10%,You recognise when you need help from outside your immediate peers and asked for it effectively.
Junior DeveloperSOFT SKILLSCommunicationMentoring communicators,47,Junior Developer,SOFT SKILLS,Communication,Mentoring communicators,0.0,10%,You are able to unpick the communication of others around you and offer advice and feedback.
